dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.354513,-0.129703,7.360000,4.000000,0.000000,0.000000,0.090070
0.020000,7.434117,-0.121760,7.440000,4.000000,0.000000,0.000000,0.109124
0.020000,7.513546,-0.112230,7.520000,4.000000,0.000000,0.000000,0.130029
0.020000,7.592746,-0.100961,7.600000,4.000000,0.000000,0.000000,0.152996
0.020000,7.671652,-0.087788,7.680000,4.000000,0.000000,0.000000,0.178260
0.020000,7.750180,-0.072527,7.760000,4.000000,0.000000,0.000000,0.206087
0.020000,7.828229,-0.054977,7.840000,4.000000,0.000000,0.000000,0.236773
0.020000,7.905670,-0.034920,7.920000,4.000000,0.000000,0.000000,0.270643
0.020000,7.982347,-0.012119,8.000000,4.000000,0.000000,0.000000,0.308046
0.020000,8.058067,0.013678,8.080000,4.000000,0.000000,0.000000,0.349345
0.020000,8.132596,0.042735,8.160000,4.000000,0.000000,0.000000,0.394899
0.020000,8.205650,0.075321,8.240000,4.000000,0.000000,0.000000,0.445031
0.020000,8.276890,0.111697,8.320000,4.000000,0.000000,0.000000,0.499985
0.020000,8.345924,0.152100,8.400000,4.000000,0.000000,0.000000,0.559867
0.020000,8.412306,0.196723,8.480000,4.000000,0.000000,0.000000,0.624578
0.020000,8.475551,0.245688,8.560000,4.000000,0.000000,0.000000,0.693736
0.020000,8.535156,0.299020,8.640000,4.000000,0.000000,0.000000,0.766633
0.020000,8.590635,0.356632,8.720000,4.000000,0.000000,0.000000,0.842230
0.020000,8.641553,0.418309,8.800000,4.000000,0.000000,0.000000,0.919210
0.020000,8.687572,0.483724,8.880000,4.000000,0.000000,0.000000,0.996111
0.020000,8.728474,0.552455,8.960000,4.000000,0.000000,0.000000,1.071491
0.020000,8.764178,0.624027,9.040000,4.000000,0.000000,0.000000,1.144084
0.020000,8.794732,0.697945,9.120000,4.000000,0.000000,0.000000,1.212913
0.020000,8.820293,0.773737,9.200000,4.000000,0.000000,0.000000,1.277341
0.020000,8.841104,0.850970,9.280000,4.000000,0.000000,0.000000,1.337048
0.020000,8.857457,0.929271,9.360000,4.000000,0.000000,0.000000,1.391976
0.020000,8.869672,1.008324,9.440000,4.000000,0.000000,0.000000,1.442261
0.020000,8.878074,1.087875,9.520000,4.000000,0.000000,0.000000,1.488160
0.020000,8.882982,1.167718,9.600000,4.000000,0.000000,0.000000,1.530001
0.020000,8.884697,1.247695,9.680000,4.000000,0.000000,0.000000,1.568140
0.020000,8.883496,1.327682,9.760000,4.000000,0.000000,0.000000,1.602931
0.020000,8.879637,1.407585,9.840000,4.000000,0.000000,0.000000,1.634715
0.020000,8.873350,1.487335,9.920000,4.000000,0.000000,0.000000,1.663806
0.020000,8.864843,1.566879,10.000000,4.000000,0.000000,0.000000,1.690491
0.020000,8.854303,1.646180,10.080000,4.000000,0.000000,0.000000,1.715027
0.020000,8.841898,1.725211,10.160000,4.000000,0.000000,0.000000,1.737642
0.020000,8.827779,1.803953,10.240000,4.000000,0.000000,0.000000,1.758538
0.020000,8.812078,1.882396,10.320000,4.000000,0.000000,0.000000,1.777894
0.020000,8.794917,1.960533,10.400000,4.000000,0.000000,0.000000,1.795867
0.020000,8.776404,2.038360,10.480000,4.000000,0.000000,0.000000,1.812595
0.020000,8.756636,2.115879,10.560000,4.000000,0.000000,0.000000,1.828201
0.020000,8.735701,2.193090,10.640000,4.000000,0.000000,0.000000,1.842790
0.020000,8.713677,2.269998,10.720000,4.000000,0.000000,0.000000,1.856459
0.020000,8.690636,2.346608,10.800000,4.000000,0.000000,0.000000,1.869292
0.020000,8.666644,2.422925,10.880000,4.000000,0.000000,0.000000,1.881362
0.020000,8.641759,2.498956,10.960000,4.000000,0.000000,0.000000,1.892737
0.020000,8.616036,2.574707,11.040000,4.000000,0.000000,0.000000,1.903475
0.020000,8.589523,2.650185,11.120000,4.000000,0.000000,0.000000,1.913629
0.020000,8.562265,2.725398,11.200000,4.000000,0.000000,0.000000,1.923246
0.020000,8.534304,2.800352,11.280000,4.000000,0.000000,0.000000,1.932368
0.020000,8.505678,2.875055,11.360000,4.000000,0.000000,0.000000,1.941034
0.020000,8.476422,2.949513,11.440000,4.000000,0.000000,0.000000,1.949277
0.020000,8.446616,3.023615,11.519872,3.987174,-0.641317,-32.065841,1.957117
0.020000,8.416426,3.097044,11.599265,3.952125,-1.752428,-55.555556,1.964550
0.020000,8.386065,3.169402,11.677735,3.894854,-2.863539,-55.555556,1.971570
0.020000,8.355749,3.240294,11.754837,3.815361,-3.974650,-55.555556,1.978172
0.020000,8.325704,3.309329,11.830127,3.713646,-5.085761,-55.555556,1.984355
0.020000,8.296160,3.376120,11.903160,3.589709,-6.196872,-55.555556,1.990117
0.020000,8.267353,3.440282,11.973493,3.443549,-7.307983,-55.555556,1.995461
0.020000,8.239519,3.501433,12.040680,3.275167,-8.419095,-55.555556,2.000389
0.020000,8.212900,3.559191,12.104277,3.084563,-9.530206,-55.555556,2.004901
0.020000,8.187682,3.613294,12.163969,2.884563,-10.000000,-23.489714,2.009009
0.020000,8.163956,3.663679,12.219660,2.684563,-10.000000,0.000000,2.012735
0.020000,8.141769,3.710366,12.271351,2.484563,-10.000000,0.000000,2.016106
0.020000,8.121161,3.753375,12.319042,2.284563,-10.000000,0.000000,2.019143
0.020000,8.102169,3.792722,12.362734,2.084563,-10.000000,-0.000000,2.021867
0.020000,8.084823,3.828423,12.402425,1.884563,-10.000000,0.000000,2.024294
0.020000,8.069151,3.860489,12.438116,1.684563,-10.000000,0.000000,2.026439
0.020000,8.055179,3.888934,12.469807,1.484563,-10.000000,0.000000,2.028315
0.020000,8.042927,3.913768,12.497499,1.284563,-10.000000,-0.000000,2.029932
0.020000,8.032413,3.934998,12.521190,1.084563,-10.000000,0.000000,2.031300
0.020000,8.023653,3.952633,12.540881,0.884563,-10.000000,-0.000000,2.032426
0.020000,8.016600,3.966794,12.556701,0.697389,-9.358683,32.065841,2.033324
0.020000,8.011109,3.977798,12.568999,0.532438,-8.247572,55.555556,2.034017
0.020000,8.006986,3.986046,12.578220,0.389709,-7.136461,55.555556,2.034535
0.020000,8.004038,3.991939,12.584810,0.269202,-6.025350,55.555556,2.034903
0.020000,8.002067,3.995874,12.589211,0.170917,-4.914239,55.555556,2.035149
0.020000,8.000877,3.998251,12.591868,0.094854,-3.803128,55.555556,2.035297
0.020000,8.000268,3.999465,12.593227,0.041014,-2.692017,55.555556,2.035372
0.020000,8.000042,3.999916,12.593731,0.009396,-1.580905,55.555556,2.035400
0.020000,8.000000,4.000000,12.593825,0.000000,-0.469794,55.555556,2.035406
0.020000,8.000000,4.000000,12.593825,0.000000,0.000000,23.489714,2.035406
